CMDLINE /usr/local/opt/python@3.9/bin/python3.9 morse.py
MEM 0.351562 1627369595.0700
MEM 12.847656 1627369595.1707
MEM 15.523438 1627369595.2733
MEM 15.523438 1627369595.3761
MEM 15.523438 1627369595.4804
MEM 15.523438 1627369595.5821
MEM 15.523438 1627369595.6828
MEM 15.523438 1627369595.7833
MEM 15.523438 1627369595.8881
MEM 15.523438 1627369595.9921
MEM 15.523438 1627369596.0925
MEM 15.523438 1627369596.1950
MEM 15.523438 1627369596.3006
MEM 15.523438 1627369596.4037
MEM 15.523438 1627369596.5080
MEM 15.523438 1627369596.6125
MEM 15.523438 1627369596.7173
MEM 15.523438 1627369596.8202
MEM 15.523438 1627369596.9248
MEM 15.523438 1627369597.0252
MEM 15.523438 1627369597.1255
MEM 15.523438 1627369597.2299
MEM 15.523438 1627369597.3349
MEM 15.523438 1627369597.4387
MEM 15.523438 1627369597.5442
MEM 15.523438 1627369597.6486
MEM 15.523438 1627369597.7540
MEM 15.523438 1627369597.8591
MEM 15.523438 1627369597.9642
MEM 15.523438 1627369598.0696
MEM 15.523438 1627369598.1704
MEM 15.523438 1627369598.2772
MEM 15.523438 1627369598.3777
MEM 15.523438 1627369598.4808
MEM 15.523438 1627369598.5814
MEM 15.523438 1627369598.6821
MEM 15.523438 1627369598.7870
MEM 15.523438 1627369598.8913
MEM 15.523438 1627369598.9918
MEM 15.523438 1627369599.0924
MEM 15.523438 1627369599.1927
MEM 15.523438 1627369599.2932
MEM 15.523438 1627369599.3937
MEM 15.523438 1627369599.4947
MEM 15.523438 1627369599.5980
MEM 15.523438 1627369599.6984
MEM 15.523438 1627369599.8000
MEM 15.523438 1627369599.9002
MEM 15.523438 1627369600.0018
MEM 15.523438 1627369600.1062
MEM 15.523438 1627369600.2068
FUNC __main__.main 15.5156 1627369595.1935 15.5273 1627369602.8926 0
FUNC __main__.encrypt 15.5234 1627369601.3656 15.5234 1627369601.3658 2
FUNC __main__.encrypt_result 15.5234 1627369599.1124 15.5234 1627369601.3658 1
MEM 15.523438 1627369600.3077
MEM 15.523438 1627369600.4117
MEM 15.523438 1627369600.5152
MEM 15.523438 1627369600.6158
MEM 15.523438 1627369600.7161
MEM 15.523438 1627369600.8164
MEM 15.523438 1627369600.9177
MEM 15.523438 1627369601.0180
MEM 15.523438 1627369601.1190
MEM 15.523438 1627369601.2221
MEM 15.523438 1627369601.3236
MEM 15.523438 1627369601.4277
MEM 15.523438 1627369601.5286
MEM 15.523438 1627369601.6314
MEM 15.523438 1627369601.7319
MEM 15.523438 1627369601.8324
MEM 15.523438 1627369601.9327
MEM 15.523438 1627369602.0364
MEM 15.523438 1627369602.1369
MEM 15.523438 1627369602.2375
MEM 15.523438 1627369602.3417
MEM 15.523438 1627369602.4455
MEM 15.523438 1627369602.5501
MEM 15.523438 1627369602.6507
MEM 15.523438 1627369602.7514
MEM 15.523438 1627369602.8527
