CMDLINE /usr/local/opt/python@3.9/bin/python3.9 morse.py
MEM 0.355469 1627369533.2066
MEM 13.468750 1627369533.3109
MEM 15.507812 1627369533.4164
MEM 15.507812 1627369533.5182
MEM 15.507812 1627369533.6204
MEM 15.507812 1627369533.7240
MEM 15.507812 1627369533.8243
MEM 15.507812 1627369533.9245
MEM 15.507812 1627369534.0287
MEM 15.507812 1627369534.1326
MEM 15.507812 1627369534.2365
MEM 15.507812 1627369534.3420
MEM 15.507812 1627369534.4449
MEM 15.507812 1627369534.5496
MEM 15.507812 1627369534.6516
MEM 15.507812 1627369534.7538
MEM 15.507812 1627369534.8589
MEM 15.507812 1627369534.9627
MEM 15.507812 1627369535.0663
MEM 15.507812 1627369535.1700
MEM 15.507812 1627369535.2755
MEM 15.507812 1627369535.3783
MEM 15.507812 1627369535.4838
MEM 15.507812 1627369535.5861
MEM 15.507812 1627369535.6905
MEM 15.507812 1627369535.7951
MEM 15.507812 1627369535.8993
MEM 15.507812 1627369536.0040
MEM 15.507812 1627369536.1068
MEM 15.507812 1627369536.2116
MEM 15.507812 1627369536.3171
MEM 15.507812 1627369536.4209
MEM 15.507812 1627369536.5220
MEM 15.507812 1627369536.6238
MEM 15.507812 1627369536.7293
MEM 15.507812 1627369536.8327
MEM 15.507812 1627369536.9367
MEM 15.507812 1627369537.0373
MEM 15.507812 1627369537.1420
MEM 15.507812 1627369537.2422
MEM 15.507812 1627369537.3452
MEM 15.507812 1627369537.4459
MEM 15.507812 1627369537.5511
MEM 15.507812 1627369537.6518
MEM 15.507812 1627369537.7523
MEM 15.507812 1627369537.8547
MEM 15.507812 1627369537.9601
MEM 15.507812 1627369538.0647
MEM 15.507812 1627369538.1653
MEM 15.507812 1627369538.2708
MEM 15.507812 1627369538.3730
MEM 15.507812 1627369538.4745
MEM 15.507812 1627369538.5800
MEM 15.507812 1627369538.6816
MEM 15.507812 1627369538.7831
MEM 15.507812 1627369538.8886
MEM 15.507812 1627369538.9891
MEM 15.507812 1627369539.0899
MEM 15.507812 1627369539.1953
MEM 15.507812 1627369539.2991
MEM 15.507812 1627369539.4046
MEM 15.507812 1627369539.5070
MEM 15.507812 1627369539.6083
MEM 15.507812 1627369539.7124
MEM 15.507812 1627369539.8126
MEM 15.507812 1627369539.9179
MEM 15.507812 1627369540.0231
MEM 15.507812 1627369540.1237
MEM 15.507812 1627369540.2291
MEM 15.507812 1627369540.3346
MEM 15.507812 1627369540.4393
MEM 15.507812 1627369540.5448
MEM 15.507812 1627369540.6497
MEM 15.507812 1627369540.7552
MEM 15.507812 1627369540.8591
MEM 15.507812 1627369540.9640
MEM 15.507812 1627369541.0681
MEM 15.507812 1627369541.1686
MEM 15.507812 1627369541.2732
MEM 15.507812 1627369541.3739
MEM 15.507812 1627369541.4793
MEM 15.507812 1627369541.5833
MEM 15.507812 1627369541.6868
MEM 15.507812 1627369541.7872
MEM 15.507812 1627369541.8927
MEM 15.507812 1627369541.9955
MEM 15.507812 1627369542.1007
MEM 15.507812 1627369542.2049
MEM 15.507812 1627369542.3089
MEM 15.507812 1627369542.4115
MEM 15.507812 1627369542.5119
MEM 15.507812 1627369542.6168
MEM 15.507812 1627369542.7215
MEM 15.507812 1627369542.8260
MEM 15.507812 1627369542.9315
MEM 15.507812 1627369543.0350
MEM 15.507812 1627369543.1402
MEM 15.507812 1627369543.2426
MEM 15.507812 1627369543.3481
MEM 15.507812 1627369543.4496
MEM 15.507812 1627369543.5528
MEM 15.507812 1627369543.6532
MEM 15.507812 1627369543.7558
MEM 15.507812 1627369543.8561
MEM 15.507812 1627369543.9616
MEM 15.507812 1627369544.0668
MEM 15.507812 1627369544.1713
MEM 15.507812 1627369544.2761
MEM 15.507812 1627369544.3768
MEM 15.507812 1627369544.4804
MEM 15.507812 1627369544.5826
MEM 15.507812 1627369544.6879
MEM 15.507812 1627369544.7934
MEM 15.507812 1627369544.8989
MEM 15.507812 1627369545.0014
MEM 15.507812 1627369545.1019
MEM 15.507812 1627369545.2074
MEM 15.507812 1627369545.3109
MEM 15.507812 1627369545.4133
MEM 15.507812 1627369545.5141
MEM 15.507812 1627369545.6188
MEM 15.507812 1627369545.7225
MEM 15.507812 1627369545.8279
MEM 15.507812 1627369545.9302
FUNC __main__.main 15.5000 1627369533.3240 15.5078 1627369545.9745 0
FUNC __main__.encrypt 15.5078 1627369543.7668 15.5078 1627369543.7671 2
FUNC __main__.encrypt_result 15.5078 1627369539.8021 15.5078 1627369543.7672 1
